t,level,bass,mid,treble,flux,argmax
0.04644,0.00283,0.0000,0.1346,0.0000,0.04628,19
0.05805,0.00336,0.0000,0.1402,0.0000,0.00194,19
0.06966,0.00382,0.0000,0.1457,0.0000,0.00207,19
0.08127,0.00450,0.0000,0.1521,0.0000,0.00220,20
0.09288,0.00487,0.0000,0.1592,0.0000,0.00245,19
0.10449,0.00570,0.0000,0.1627,0.0000,0.00131,20
0.1161,0.00614,0.0000,0.1669,0.0000,0.00177,19
0.12771,0.00695,0.0000,0.1696,0.0000,0.00116,20
0.13932,0.00706,0.0000,0.1759,0.0000,0.00229,19
0.15093,0.00806,0.0000,0.1793,0.0000,0.00130,20
0.16254,0.00853,0.0000,0.1836,0.0000,0.00160,19
0.17415,0.00944,0.0000,0.1837,0.0000,0.00083,20
0.18576,0.00948,0.0000,0.1887,0.0000,0.00177,19
0.19737,0.01040,0.0000,0.1926,0.0000,0.00136,20
0.20898,0.01079,0.0000,0.1954,0.0000,0.00100,19
0.22059,0.01182,0.0000,0.1966,0.0000,0.00078,20
0.2322,0.01196,0.0000,0.1986,0.0000,0.00095,19
0.24381,0.01291,0.0000,0.2036,0.0000,0.00170,20
0.25542,0.01309,0.0000,0.2053,0.0000,0.00081,20
0.26703,0.01399,0.0000,0.2080,0.0000,0.00094,20
0.27864,0.01460,0.0000,0.2085,0.0000,0.00082,20
0.29025,0.01530,0.0000,0.2125,0.0000,0.00138,20
0.30186,0.01557,0.0000,0.2131,0.0000,0.00117,20
0.31347,0.01606,0.0000,0.2179,0.0000,0.00168,20
0.32508,0.01707,0.0000,0.2172,0.0000,0.00085,20
0.33669,0.01781,0.0000,0.2218,0.0000,0.00204,19
0.3483,0.01820,0.0000,0.2190,0.0000,0.00082,20
0.35991,0.01842,0.0000,0.2268,0.0000,0.00292,19
0.37152,0.01944,0.0000,0.2251,0.0000,0.00073,20
0.38313,0.01999,0.0000,0.2309,0.0000,0.00239,19
0.39474,0.02086,0.0000,0.2242,0.0000,0.00049,20
0.40635,0.02077,0.0004,0.2348,0.0000,0.00391,19
0.41796,0.02193,0.0000,0.2311,0.0000,0.00073,20
0.42957,0.02188,0.0003,0.2376,0.0000,0.00246,19
0.44118,0.02336,0.0000,0.2315,0.0000,0.00080,20
0.45279,0.02345,0.0005,0.2407,0.0000,0.00357,19
0.4644,0.02446,0.0000,0.2374,0.0000,0.00111,20
0.47601,0.02410,0.0007,0.2431,0.0000,0.00266,19
0.48762,0.02562,0.0000,0.2394,0.0000,0.00084,20
0.49923,0.02608,0.0016,0.2475,0.0000,0.00388,19
0.51084,0.02713,0.0001,0.2425,0.0000,0.00052,20
0.52245,0.02647,0.0008,0.2476,0.0000,0.00249,19
0.53406,0.02781,0.0001,0.2470,0.0000,0.00070,20
0.54567,0.02827,0.0012,0.2524,0.0000,0.00247,19
0.55728,0.02957,0.0004,0.2490,0.0000,0.00031,20
0.56889,0.02915,0.0008,0.2513,0.0000,0.00118,19
0.5805,0.02996,0.0013,0.2544,0.0000,0.00127,20
0.59211,0.03017,0.0029,0.2559,0.0000,0.00086,20
0.60372,0.03073,0.0013,0.2543,0.0000,0.00043,20
0.61533,0.03119,0.0012,0.2544,0.0000,0.00038,20
0.62694,0.03104,0.0009,0.2581,0.0000,0.00137,20
0.63855,0.03099,0.0004,0.2547,0.0000,0.00038,20
0.65016,0.03067,0.0009,0.2561,0.0000,0.00082,20
0.66177,0.03167,0.0005,0.2538,0.0000,0.00087,20
0.67338,0.03144,0.0032,0.2595,0.0000,0.00262,19
0.68499,0.03124,0.0003,0.2525,0.0000,0.00082,20
0.6966,0.03044,0.0020,0.2576,0.0000,0.00265,19
0.70821,0.03153,0.0005,0.2536,0.0000,0.00084,20
0.71982,0.03122,0.0033,0.2593,0.0000,0.00321,19
0.73143,0.03160,0.0000,0.2505,0.0000,0.00048,20
0.74304,0.03035,0.0022,0.2583,0.0000,0.00368,19
0.75465,0.03145,0.0002,0.2533,0.0000,0.00053,20
0.76626,0.03078,0.0027,0.2595,0.0000,0.00318,19
0.77787,0.03174,0.0000,0.2490,0.0000,0.00029,20
0.78948,0.03095,0.0029,0.2597,0.0000,0.00452,19
0.80109,0.03137,0.0003,0.2535,0.0000,0.00061,20
0.8127,0.03059,0.0025,0.2588,0.0000,0.00277,19
0.82431,0.03156,0.0000,0.2506,0.0000,0.00061,20
0.83592,0.03129,0.0027,0.2592,0.0000,0.00401,19
0.84753,0.03161,0.0002,0.2534,0.0000,0.00073,20
0.85914,0.03031,0.0012,0.2568,0.0000,0.00223,20
0.87075,0.03122,0.0003,0.2527,0.0000,0.00048,20
0.88236,0.03128,0.0024,0.2590,0.0000,0.00344,20
0.89397,0.03165,0.0007,0.2542,0.0000,0.00014,20
0.90558,0.03071,0.0013,0.2560,0.0000,0.00154,20
0.91719,0.03093,0.0007,0.2551,0.0000,0.00029,20
0.9288,0.03129,0.0021,0.2588,0.0000,0.00195,20
0.94041,0.03139,0.0008,0.2546,0.0000,0.00005,20
0.95202,0.03129,0.0008,0.2545,0.0000,0.00030,20
0.96363,0.03097,0.0012,0.2574,0.0000,0.00120,20
0.97524,0.03104,0.0008,0.2559,0.0000,0.00009,20
0.98685,0.03103,0.0015,0.2565,0.0000,0.00073,20
0.99846,0.03159,0.0003,0.2525,0.0000,0.00044,20
1.01007,0.03128,0.0027,0.2597,0.0000,0.00305,20
1.02168,0.03114,0.0005,0.2537,0.0000,0.00064,20
1.03329,0.03045,0.0017,0.2571,0.0000,0.00176,20
1.0449,0.03166,0.0004,0.2530,0.0000,0.00087,20
1.05651,0.03122,0.0026,0.2592,0.0000,0.00305,19
1.06812,0.03143,0.0000,0.2513,0.0000,0.00087,20
1.07973,0.03021,0.0016,0.2577,0.0000,0.00321,19
1.09134,0.03154,0.0003,0.2532,0.0000,0.00087,20
1.10295,0.03118,0.0033,0.2600,0.0000,0.00369,19
1.11456,0.03171,0.0000,0.2497,0.0000,0.00031,20
1.12617,0.03068,0.0025,0.2593,0.0000,0.00431,19
1.13778,0.03134,0.0002,0.2534,0.0000,0.00037,20
1.14939,0.03081,0.0024,0.2592,0.0000,0.00286,19
1.161,0.03170,0.0000,0.2493,0.0000,0.00034,20
1.17261,0.03095,0.0025,0.2591,0.0000,0.00410,19
1.18422,0.03148,0.0003,0.2537,0.0000,0.00066,20
1.19583,0.03036,0.0019,0.2577,0.0000,0.00233,19
1.20744,0.03139,0.0000,0.2516,0.0000,0.00056,20
1.21905,0.03134,0.0025,0.2588,0.0000,0.00368,19
1.23066,0.03155,0.0008,0.2550,0.0000,0.00061,20
1.24227,0.03060,0.0015,0.2567,0.0000,0.00164,20
1.25388,0.03096,0.0004,0.2538,0.0000,0.00023,20
1.26549,0.03147,0.0020,0.2583,0.0000,0.00253,20
